learner_id,learner_name,grade,term,subject,score,assessment_date
L001,George Oloo,Grade 7,Term 1,English,75.76,2023-04-15
L001,George Oloo,Grade 7,Term 1,Kiswahili or Kenyan Sign Language,72.92,2023-04-15
L001,George Oloo,Grade 7,Term 1,Mathematics,79.09,2023-04-15
L001,George Oloo,Grade 7,Term 1,Integrated Science,73.78,2023-04-15
L001,George Oloo,Grade 7,Term 1,Health Education,84.43,2023-04-15
L001,George Oloo,Grade 7,Term 1,Social Studies,88.91,2023-04-15
L001,George Oloo,Grade 7,Term 1,Religious Education,77.14,2023-04-15
L001,George Oloo,Grade 7,Term 1,Pre-Technical and Pre-Career Education,79.54,2023-04-15
L001,George Oloo,Grade 7,Term 1,Agriculture,78.22,2023-04-15
L001,George Oloo,Grade 7,Term 1,Business Studies,85.47,2023-04-15
L001,George Oloo,Grade 7,Term 1,Life Skills Education,82.46,2023-04-15
L001,George Oloo,Grade 7,Term 1,Sports and Physical Education,75.86,2023-04-15
L001,George Oloo,Grade 7,Term 2,English,79.02,2023-08-15
L001,George Oloo,Grade 7,Term 2,Kiswahili or Kenyan Sign Language,76.5,2023-08-15
L001,George Oloo,Grade 7,Term 2,Mathematics,79.91,2023-08-15
L001,George Oloo,Grade 7,Term 2,Integrated Science,78.84,2023-08-15
L001,George Oloo,Grade 7,Term 2,Health Education,84.88,2023-08-15
L001,George Oloo,Grade 7,Term 2,Social Studies,84.54,2023-08-15
L001,George Oloo,Grade 7,Term 2,Religious Education,76.91,2023-08-15
L001,George Oloo,Grade 7,Term 2,Pre-Technical and Pre-Career Education,84.11,2023-08-15
L001,George Oloo,Grade 7,Term 2,Agriculture,80.28,2023-08-15
L001,George Oloo,Grade 7,Term 2,Business Studies,77.21,2023-08-15
L001,George Oloo,Grade 7,Term 2,Life Skills Education,78.83,2023-08-15
L001,George Oloo,Grade 7,Term 2,Sports and Physical Education,75.13,2023-08-15
L001,George Oloo,Grade 7,Term 3,English,84.1,2023-11-20
L001,George Oloo,Grade 7,Term 3,Kiswahili or Kenyan Sign Language,79.91,2023-11-20
L001,George Oloo,Grade 7,Term 3,Mathematics,82.53,2023-11-20
L001,George Oloo,Grade 7,Term 3,Integrated Science,74.06,2023-11-20
L001,George Oloo,Grade 7,Term 3,Health Education,80.15,2023-11-20
L001,George Oloo,Grade 7,Term 3,Social Studies,91.97,2023-11-20
L001,George Oloo,Grade 7,Term 3,Religious Education,81.14,2023-11-20
L001,George Oloo,Grade 7,Term 3,Pre-Technical and Pre-Career Education,84.63,2023-11-20
L001,George Oloo,Grade 7,Term 3,Agriculture,84.94,2023-11-20
L001,George Oloo,Grade 7,Term 3,Business Studies,77.13,2023-11-20
L001,George Oloo,Grade 7,Term 3,Life Skills Education,87.13,2023-11-20
L001,George Oloo,Grade 7,Term 3,Sports and Physical Education,82.4,2023-11-20
L001,George Oloo,Grade 8,Term 1,English,84.01,2024-04-15
L001,George Oloo,Grade 8,Term 1,Kiswahili or Kenyan Sign Language,75.0,2024-04-15
L001,George Oloo,Grade 8,Term 1,Mathematics,85.81,2024-04-15
L001,George Oloo,Grade 8,Term 1,Integrated Science,75.53,2024-04-15
L001,George Oloo,Grade 8,Term 1,Health Education,81.68,2024-04-15
L001,George Oloo,Grade 8,Term 1,Social Studies,86.88,2024-04-15
L001,George Oloo,Grade 8,Term 1,Religious Education,86.63,2024-04-15
L001,George Oloo,Grade 8,Term 1,Pre-Technical and Pre-Career Education,84.38,2024-04-15
L001,George Oloo,Grade 8,Term 1,Agriculture,79.18,2024-04-15
L001,George Oloo,Grade 8,Term 1,Business Studies,83.3,2024-04-15
L001,George Oloo,Grade 8,Term 1,Life Skills Education,82.07,2024-04-15
